Country,Week,Age_group,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
ARG,202115,20 – 30,3,0,0,0,0,12,15
ARG,202115,30 – 40,1,0,0,0,0,25,26
ARG,202115,40 – 50,9,0,0,0,0,22,31
ARG,202115,5 – 10,0,0,0,0,0,1,1
ARG,202115,50 – 60,4,0,0,0,0,15,19
ARG,202115,60 – 70,0,0,0,0,0,18,18
ARG,202115,70 – 80,1,0,0,0,0,9,10
ARG,202115,>= 80,0,0,0,0,0,2,2
ARG,202116,1 – 5,0,0,0,0,0,1,1
ARG,202116,10 – 20,1,0,1,0,0,10,12
ARG,202116,20 – 30,1,0,0,0,0,24,25
ARG,202116,30 – 40,2,0,0,0,0,39,41
ARG,202116,40 – 50,9,0,0,0,0,40,49
ARG,202116,5 – 10,0,0,0,0,0,2,2
ARG,202116,50 – 60,3,1,0,0,0,30,34
ARG,202116,60 – 70,1,0,0,0,0,11,12
ARG,202116,70 – 80,2,0,0,0,0,11,13
ARG,202116,>= 80,1,0,0,0,0,1,2
ARG,202117,1 – 5,1,0,0,0,0,0,1
ARG,202117,10 – 20,2,0,0,0,0,5,7
ARG,202117,20 – 30,1,0,0,0,0,14,15
ARG,202117,30 – 40,3,0,0,0,0,19,22
ARG,202117,40 – 50,3,0,0,0,0,11,14
ARG,202117,5 – 10,0,0,0,0,0,1,1
ARG,202117,50 – 60,1,0,0,0,0,22,23
ARG,202117,60 – 70,0,0,0,0,0,11,11
ARG,202117,70 – 80,3,0,0,0,0,8,11
ARG,202117,>= 80,1,0,0,0,0,3,4
ARG,202118,10 – 20,0,0,0,0,0,8,8
ARG,202118,20 – 30,0,0,0,0,0,24,24
ARG,202118,30 – 40,4,0,0,0,0,34,38
ARG,202118,40 – 50,2,0,0,0,0,30,32
ARG,202118,5 – 10,0,0,0,0,0,1,1
ARG,202118,50 – 60,4,0,0,0,0,30,34
ARG,202118,60 – 70,5,0,0,0,0,14,19
ARG,202118,70 – 80,1,0,0,0,0,6,7
ARG,202118,>= 80,0,0,0,0,0,5,5
ARG,202119,10 – 20,0,0,0,0,0,13,13
ARG,202119,20 – 30,3,0,0,0,0,28,31
ARG,202119,30 – 40,5,0,0,0,0,29,34
ARG,202119,40 – 50,2,0,0,0,0,32,34
ARG,202119,5 – 10,1,0,0,0,0,2,3
ARG,202119,50 – 60,0,0,0,0,0,27,27
ARG,202119,60 – 70,2,0,0,0,0,25,27
ARG,202119,70 – 80,0,0,0,0,0,8,8
ARG,202119,>= 80,1,0,0,0,0,9,10
ARG,202120,10 – 20,0,0,0,0,0,6,6
ARG,202120,20 – 30,2,0,0,0,0,27,29
ARG,202120,30 – 40,5,0,0,0,0,39,44
ARG,202120,40 – 50,2,0,0,0,0,42,44
ARG,202120,5 – 10,0,0,0,0,0,1,1
ARG,202120,50 – 60,5,0,0,0,0,23,28
ARG,202120,60 – 70,2,0,0,0,0,18,20
ARG,202120,70 – 80,1,0,0,0,0,16,17
ARG,202120,>= 80,1,0,0,0,0,8,9
ARG,202121,1 – 5,0,0,0,0,0,3,3
ARG,202121,10 – 20,0,0,0,0,0,7,7
ARG,202121,20 – 30,3,0,0,0,0,27,30
ARG,202121,30 – 40,4,0,0,0,0,40,44
ARG,202121,40 – 50,3,0,0,0,0,29,32
ARG,202121,5 – 10,0,0,0,0,0,1,1
ARG,202121,50 – 60,1,0,0,0,0,26,27
ARG,202121,60 – 70,3,0,0,0,0,16,19
ARG,202121,70 – 80,2,0,0,0,0,7,9
ARG,202121,>= 80,0,0,0,0,0,4,4
ARG,202122,10 – 20,1,0,0,0,0,10,11
ARG,202122,20 – 30,1,0,1,0,0,30,32
ARG,202122,30 – 40,4,0,0,0,0,47,51
ARG,202122,40 – 50,1,0,0,0,0,50,51
ARG,202122,5 – 10,0,0,0,0,0,2,2
ARG,202122,50 – 60,5,0,0,0,0,29,34
ARG,202122,60 – 70,2,0,0,0,0,21,23
ARG,202122,70 – 80,0,0,0,0,0,13,13
ARG,202122,>= 80,0,0,0,0,0,17,17
ARG,202123,1 – 5,0,0,0,0,0,2,2
ARG,202123,10 – 20,1,0,0,0,0,13,14
ARG,202123,20 – 30,3,0,0,0,0,39,42
ARG,202123,30 – 40,5,0,0,0,0,51,56
ARG,202123,40 – 50,4,0,0,0,0,53,57
ARG,202123,5 – 10,0,0,0,0,0,3,3
ARG,202123,50 – 60,1,0,0,0,0,40,41
ARG,202123,60 – 70,1,0,0,0,0,20,21
ARG,202123,70 – 80,0,0,0,0,0,16,16
ARG,202123,>= 80,0,0,0,0,0,14,14
ARG,202124,1 – 5,0,0,0,0,0,4,4
ARG,202124,10 – 20,2,0,0,0,0,15,17
ARG,202124,20 – 30,7,0,0,0,0,29,36
ARG,202124,30 – 40,2,0,0,0,0,56,58
ARG,202124,40 – 50,3,0,0,0,0,37,40
ARG,202124,5 – 10,0,0,0,0,0,1,1
ARG,202124,50 – 60,0,0,0,0,0,34,34
ARG,202124,60 – 70,1,0,0,0,0,11,12
ARG,202124,70 – 80,1,0,0,0,0,10,11
ARG,202124,>= 80,1,0,0,0,0,9,10
ARG,202125,1 – 5,0,0,0,0,0,3,3
ARG,202125,10 – 20,1,0,0,0,0,15,16
ARG,202125,20 – 30,1,0,0,0,0,28,29
ARG,202125,30 – 40,3,0,1,0,0,49,53
ARG,202125,40 – 50,6,0,1,0,0,40,47
ARG,202125,5 – 10,0,0,0,0,0,3,3
ARG,202125,50 – 60,2,0,0,0,0,29,31
ARG,202125,60 – 70,1,0,0,0,0,17,18
ARG,202125,70 – 80,2,0,0,0,0,15,17
ARG,202125,>= 80,0,0,0,0,0,11,11
ARG,202126,10 – 20,1,0,1,0,0,13,15
ARG,202126,20 – 30,0,0,1,0,0,26,27
ARG,202126,30 – 40,2,0,5,0,0,40,47
ARG,202126,40 – 50,1,0,2,0,0,40,43
ARG,202126,5 – 10,0,0,0,0,0,2,2
ARG,202126,50 – 60,3,0,0,0,0,34,37
ARG,202126,60 – 70,1,0,0,0,0,19,20
ARG,202126,70 – 80,0,0,0,0,0,12,12
ARG,202126,>= 80,0,0,0,0,0,6,6
ARG,202127,1 – 5,0,0,0,0,0,4,4
ARG,202127,10 – 20,1,0,1,0,0,15,17
